PMID,Amount,Country,Region,ISO3
12484510,75,Japan,Asia-Pacific,JPN
12484708,148,USA,North America,USA
12486987,42,USA,North America,USA
12488257,36,USA,North America,USA
12488294,157,Japan,Asia-Pacific,JPN
12488300,83,Austria,Europe,AUT
12488379,40,USA,North America,USA
12490682,184,USA,North America,USA
12491501,441,USA,North America,USA
12492585,111,USA,North America,USA
12492613,10,USA,North America,USA
12492615,83,UK,Europe,GBR
12493658,145,Canada,North America,CAN
12495257,103,Indonesia,Asia-Pacific,IDN
12495948,21,UK,Europe,GBR
12496225,43,New Zealand,Asia-Pacific,NZL
12498603,16,Netherlands,Europe,NLD
12499180,398,USA,North America,USA
12499212,57,USA,North America,USA
12499617,61,Japan,Asia-Pacific,JPN
12500362,200,USA,North America,USA
12500883,118,USA,North America,USA
12506030,87,USA,North America,USA
12510037,380,Canada,North America,CAN
12510038,213,UK,Europe,GBR
12510801,94,USA,North America,USA
12511716,214,Netherlands,Europe,NLD
12513038,276,USA,North America,USA
12514575,105,USA,North America,USA
12514592,109,Netherlands,Europe,NLD
12514593,151,USA,North America,USA
12517329,80,South Africa,Africa,ZAF
12517808,336,Germany,Europe,DEU
12518021,19,Hungary,Europe,HUN
12518293,8,UK,Europe,GBR
12518376,60,Portugal,Europe,PRT
12519109,90,Taiwan,Asia-Pacific,TWN
12519653,23,India,Asia-Pacific,IND
12520092,47,USA,North America,USA
12520156,38,Japan,Asia-Pacific,JPN
12520172,20,Japan,Asia-Pacific,JPN
12521457,108,Nigeria,Africa,NGA
12521468,147,Australia,Asia-Pacific,AUS
12521500,137,Nigeria,Africa,NGA
12521968,274,UK,Europe,GBR
12521969,942,Germany,Europe,DEU
12521974,134,UK,Europe,GBR
12523327,44,China,Asia-Pacific,CHN
12524069,48,Italy,Europe,ITA
12526285,205,South Korea,Asia-Pacific,KOR
12527665,16,UK,Europe,GBR
12527674,230,Argentina,South America,ARG
12528763,64,Taiwan,Asia-Pacific,TWN
12529459,309,USA,North America,USA
12531808,412,USA,North America,USA
12531809,100,USA,North America,USA
12532056,28,Germany,Europe,DEU
12532470,36,China,Asia-Pacific,CHN
12533330,239,Canada,North America,CAN
12534758,354,USA,North America,USA
12535809,84,Switzerland,Europe,CHE
12535810,104,USA,North America,USA
12535822,110,Austria,Europe,AUT
12538365,45,South Africa,Africa,ZAF
12538369,40,Austria,Europe,AUT
12538373,27,Japan,Asia-Pacific,JPN
12539003,60,Germany,Europe,DEU
12542554,140,Denmark,Europe,DNK
12542558,179,Germany,Europe,DEU
12542559,33,Sweden,Europe,SWE
12542586,127,USA,North America,USA
12543738,57,Nepal,Asia-Pacific,NPL
12543740,244,UK,Europe,GBR
12543744,105,UK,Europe,GBR
12543748,19,Germany,Europe,DEU
12543749,70,India,Asia-Pacific,IND
12543751,11,UK,Europe,GBR
12545683,132,USA,North America,USA
12547874,198,USA,North America,USA
12547950,90,Hong Kong,Asia-Pacific,CHN
12548508,20,USA,North America,USA
12548591,54,USA,North America,USA
12549710,891,USA,North America,USA
12549813,652,USA,North America,USA
12549816,956,USA,North America,USA
12554545,139,USA,North America,USA
12554548,299,USA,North America,USA
12556649,440,USA,North America,USA
12559216,480,Germany,Europe,DEU
12562411,240,USA,North America,USA
12562649,150,Italy,Europe,ITA
12562651,88,Italy,Europe,ITA
12562652,305,Germany,Europe,DEU
12562653,155,UK,Europe,GBR
12562722,15,USA,North America,USA
12562974,64,UK,Europe,GBR
12563493,61,Colombia,South America,COL
12564573,200,Denmark,Europe,DNK
12568409,331,Finland,Europe,FIN
12568411,201,Denmark,Europe,DNK
12568831,62,USA,North America,USA
12568832,152,Netherlands,Europe,NLD
12568834,55,South Korea,Asia-Pacific,KOR
12568837,100,Italy,Europe,ITA
12568839,124,UK,Europe,GBR
12568841,113,USA,North America,USA
12568856,189,Germany,Europe,DEU
12572707,80,Netherlands,Europe,NLD
12574046,13,UK,Europe,GBR
12574202,8,China,Asia-Pacific,CHN
12575967,204,USA,North America,USA
12575969,47,Canada,North America,CAN
12576315,24,Netherlands,Europe,NLD
12576316,399,USA,North America,USA
12577155,208,Netherlands,Europe,NLD
12579093,62,Japan,Asia-Pacific,JPN
12579101,71,Canada,North America,CAN
12579102,30,Greece,Europe,GRC
12580841,78,Denmark,Europe,DNK
12580842,68,UK,Europe,GBR
12581463,51,UK,Europe,GBR
12583787,407,USA,North America,USA
12584228,1530,Germany,Europe,DEU
12585791,120,Canada,North America,CAN
12587093,26,Australia,Asia-Pacific,AUS
12589529,35,Germany,Europe,DEU
12590027,92,USA,North America,USA
12590028,207,USA,North America,USA
12591833,226,Sweden,Europe,SWE
12594136,60,Germany,Europe,DEU
12594141,40,UK,Europe,GBR
12594142,90,Finland,Europe,FIN
12594143,550,France,Europe,FRA
12594144,60,Turkey,Middle East,TUR
12594145,60,Italy,Europe,ITA
12594146,97,Germany,Europe,DEU
12596948,88,Jordan,Middle East,JOR
12598068,30,USA,North America,USA
12598069,19,USA,North America,USA
12598341,207,USA,North America,USA
12598344,702,Germany,Europe,DEU
12598347,474,Italy,Europe,ITA
12598354,40,France,Europe,FRA
12598435,472,Mongolia,Asia-Pacific,MNG
12598441,13,Japan,Asia-Pacific,JPN
12598502,20,UK,Europe,GBR
12599047,275,Kenya,Africa,KEN
12604518,163,Greece,Europe,GRC
12604544,3151,USA,North America,USA
12604873,30,Japan,Asia-Pacific,JPN
12609940,268,UK,Europe,GBR
12609944,278,UK,Europe,GBR
12614088,130,USA,North America,USA
12615589,345,Canada,North America,CAN
12618680,227,France,Europe,FRA
12618690,832,Germany,Europe,DEU
12619168,38,South Korea,Asia-Pacific,KOR
12619672,25,Japan,Asia-Pacific,JPN
12620438,120,Sweden,Europe,SWE
12620439,122,Italy,Europe,ITA
12620440,25,USA,North America,USA
12621132,635,USA,North America,USA
12622238,48,Germany,Europe,DEU
12623291,665,France,Europe,FRA
12623333,32,USA,North America,USA
12623472,823,Nigeria,Africa,NGA
12623473,448,Nigeria,Africa,NGA
12623916,164,USA,North America,USA
12624565,16608,USA,North America,USA
12625151,132,Tanzania,Africa,TZA
12626207,334,Norway,Europe,NOR
12626756,11,USA,North America,USA
12631092,197,Japan,Asia-Pacific,JPN
12631093,24,Italy,Europe,ITA
12631097,20,Switzerland,Europe,CHE
12631126,24,USA,North America,USA
12631309,522,Tanzania,Africa,TZA
12631365,263,USA,North America,USA
12631652,43,Switzerland,Europe,CHE
12634227,210,Netherlands,Europe,NLD
12635913,120,Netherlands,Europe,NLD
12635973,330,UK,Europe,GBR
12637196,20,Denmark,Europe,DNK
12637400,492,Nepal,Asia-Pacific,NPL
12637608,84,USA,North America,USA
12637625,501,USA,North America,USA
12638566,20,UK,Europe,GBR
12639880,755,UK,Europe,GBR
12640509,41,Brazil,South America,BRA
12641399,448,Uganda,Africa,UGA
12641626,157,UK,Europe,GBR
12642306,22,USA,North America,USA
12642564,196,USA,North America,USA
12642637,166,USA,North America,USA
12644417,300,USA,North America,USA
12644418,322,UK,Europe,GBR
12645827,281,UK,Europe,GBR
12650658,616,Italy,Europe,ITA
12651033,220,Denmark,Europe,DNK
12651035,267,USA,North America,USA
12651048,949,USA,North America,USA
12651051,3284,China,Asia-Pacific,CHN
12651168,47,Italy,Europe,ITA
12651918,8,USA,North America,USA
12652607,148,USA,North America,USA
12653375,150,USA,North America,USA
12653876,334,Sweden,Europe,SWE
12653877,187,Sweden,Europe,SWE
12654164,25,Australia,Asia-Pacific,AUS
12654665,24,USA,North America,USA
12654667,30,UK,Europe,GBR
12655535,135,Argentina,South America,ARG
12656456,595,Nigeria,Africa,NGA
12657163,150,Norway,Europe,NOR
12658206,82,Canada,North America,CAN
12658207,15,USA,North America,USA
12658208,20,USA,North America,USA
12661672,79,USA,North America,USA
12662006,120,Ethiopia,Africa,ETH
12663362,34,Australia,Asia-Pacific,AUS
12663440,425,France,Europe,FRA
12665084,193,USA,North America,USA
12666468,126,USA,North America,USA
12667149,322,Malawi,Africa,MWI
12668540,162,Canada,North America,CAN
12671031,21,Spain,Europe,ESP
12672860,252,USA,North America,USA
12673712,304,USA,North America,USA
12675121,62,Japan,Asia-Pacific,JPN
12675164,733,Canada,North America,CAN
12675544,80,Canada,North America,CAN
12675866,24,USA,North America,USA
12675867,34,Japan,Asia-Pacific,JPN
12679210,70,USA,North America,USA
12679215,551,USA,North America,USA
12679222,20,France,Europe,FRA
12679359,12,Germany,Europe,DEU
12679702,152,Zambia,Africa,ZMB
12681033,175,UK,Europe,GBR
12681035,325,UK,Europe,GBR
12687508,211,USA,North America,USA
12689976,132,New Zealand,Asia-Pacific,NZL
12691336,231,Sweden,Europe,SWE
12691345,29,Canada,North America,CAN
12692056,114,Italy,Europe,ITA
12692182,500,UK,Europe,GBR
12693995,138,UK,Europe,GBR
12694124,31,Finland,Europe,FIN
12694632,148,Norway,Europe,NOR
12695148,207,UK,Europe,GBR
12695250,218,USA,North America,USA
12695460,56,Italy,Europe,ITA
12695469,52,Netherlands,Europe,NLD
12695474,311,UK,Europe,GBR
12696562,37,Finland,Europe,FIN
12696854,324,USA,North America,USA
12697594,123,Canada,North America,CAN
12697596,99,UK,Europe,GBR
12698142,200,USA,North America,USA
12698143,120,USA,North America,USA
12698181,38,Austria,Europe,AUT
12698515,112,Croatia,Europe,HRV
12699137,362,Denmark,Europe,DNK
12699416,103,Finland,Europe,FIN
12701116,21,USA,North America,USA
12701940,40,UK,Europe,GBR
12702522,60,Finland,Europe,FIN
12702524,60,Japan,Asia-Pacific,JPN
12702620,271,UK,Europe,GBR
12702735,7,Denmark,Europe,DNK
12706917,438,USA,North America,USA
12706919,167,USA,North America,USA
12706922,611,USA,North America,USA
12706932,21,USA,North America,USA
12706934,45,Japan,Asia-Pacific,JPN
12707842,122,Switzerland,Europe,CHE
12709315,59,Thailand,Asia-Pacific,THA
12709347,55,Indonesia,Asia-Pacific,IDN
12709856,211,Sweden,Europe,SWE
12712486,34,USA,North America,USA
12714472,183,UK,Europe,GBR
12714526,119,Italy,Europe,ITA
12716667,30,USA,North America,USA
12717008,21,USA,North America,USA
12717871,30,China,Asia-Pacific,CHN
12718461,299,Denmark,Europe,DNK
12718812,375,Nigeria,Africa,NGA
12719393,134,UK,Europe,GBR
12720593,57,France,Europe,FRA
12720620,80,Belgium,Europe,BEL
12727038,60,USA,North America,USA
12727767,236,UK,Europe,GBR
12727933,8,USA,North America,USA
12728219,21,USA,North America,USA
12730120,74,Italy,Europe,ITA
12730296,15,Canada,North America,CAN
12730341,8,USA,North America,USA
12731456,188,USA,North America,USA
12732792,192,Greece,Europe,GRC
12734019,2079,USA,North America,USA
12736280,407,UK,Europe,GBR
12738499,48,USA,North America,USA
12738504,62,Italy,Europe,ITA
12738506,16,Netherlands,Europe,NLD
12738519,25,Turkey,Middle East,TUR
12740037,45,USA,North America,USA
12740074,80,Republic of Congo,Africa,COG
12740337,660,USA,North America,USA
12740449,43,USA,North America,USA
12742279,254,USA,North America,USA
12742280,193,USA,North America,USA
12742282,30,USA,North America,USA
12742287,99,Italy,Europe,ITA
12742923,403,UK,Europe,GBR
12743078,1465,Canada,North America,CAN
12745852,73,Iran,Middle East,IRN
12746908,45,USA,North America,USA
12748132,98,UK,Europe,GBR
12748212,152,Netherlands,Europe,NLD
12748215,10,Sweden,Europe,SWE
12749423,111,Belgium,Europe,BEL
12749433,305,USA,North America,USA
12749439,68,USA,North America,USA
12749443,74,Italy,Europe,ITA
12749500,7593,Kenya,Africa,KEN
12750166,24,Austria,Europe,AUT
12751337,8,Canada,North America,CAN
12752077,102,Sweden,Europe,SWE
12752317,731,USA,North America,USA
12752845,44,USA,North America,USA
12753258,156,Spain,Europe,ESP
12753317,50,Venezuela,South America,VEN
12753318,26,USA,North America,USA
12753323,23,USA,North America,USA
12753571,15,Japan,Asia-Pacific,JPN
12754273,93,China,Asia-Pacific,CHN
12754275,38,Netherlands,Europe,NLD
12756055,164,Argentina,South America,ARG
12756353,240,USA,North America,USA
12756979,437,Ghana,Africa,GHA
12757433,800,Hong Kong,Asia-Pacific,CHN
12759292,338,Germany,Europe,DEU
12759479,121,USA,North America,USA
12759480,121,USA,North America,USA
12760869,36,USA,North America,USA
12761364,132,USA,North America,USA
12761365,63,USA,North America,USA
12763708,36,USA,North America,USA
12763981,259,UK,Europe,GBR
12763985,144,Switzerland,Europe,CHE
12763986,10,UK,Europe,GBR
12764513,954,China,Asia-Pacific,CHN
12764515,106,Brazil,South America,BRA
12765886,40,Sweden,Europe,SWE
12766246,10,Hungary,Europe,HUN
12766690,121,USA,North America,USA
12767084,200,USA,North America,USA
12767646,897,USA,North America,USA
12767649,99,Australia,Asia-Pacific,AUS
12767651,103,USA,North America,USA
12767655,990,USA,North America,USA
12767656,423,USA,North America,USA
12767658,38,USA,North America,USA
12769249,894,Denmark,Europe,DNK
12770957,741,India,Asia-Pacific,IND
12770969,74,Singapore,Asia-Pacific,SGP
12770975,36,USA,North America,USA
12771390,52,Brazil,South America,BRA
12771874,41,France,Europe,FRA
12771924,846,Germany,Europe,DEU
12771983,210,Denmark,Europe,DNK
12771984,105,Spain,Europe,ESP
12772727,25,USA,North America,USA
12773357,429,USA,North America,USA
12773363,217,USA,North America,USA
12773645,512,Australia,Asia-Pacific,AUS
12773727,918,UK,Europe,GBR
12773728,399,USA,North America,USA
12773745,542,Canada,North America,CAN
12775317,204,Australia,Asia-Pacific,AUS
12775784,126,Netherlands,Europe,NLD
12777542,1500,USA,North America,USA
12780424,326,Norway,Europe,NOR
12782431,122,Greece,Europe,GRC
12782435,13,UK,Europe,GBR
12783400,143,Canada,North America,CAN
12783624,228,Norway,Europe,NOR
12785564,124,USA,North America,USA
12787419,101,USA,North America,USA
12787692,18,UK,Europe,GBR
12789117,120,Uganda,Africa,UGA
12790816,40,UK,Europe,GBR
12790845,288,Mozambique,Africa,MOZ
12791104,278,Zimbabwe,Africa,ZWE
12791655,222,UK,Europe,GBR
12792005,299,Botswana,Africa,BWA
12792007,185,Netherlands,Europe,NLD
12794203,713,South Africa,Africa,ZAF
12795729,109,USA,North America,USA
12795735,376,USA,North America,USA
12796026,959,Germany,Europe,DEU
12796584,48,Switzerland,Europe,CHE
12798559,368,USA,North America,USA
12798560,113,USA,North America,USA
12798827,800,UK,Europe,GBR
12798837,197,New Zealand,Asia-Pacific,NZL
12798838,98,Ireland,Europe,IRL
12798874,257,Germany,Europe,DEU
12798881,218,USA,North America,USA
12798887,100,France,Europe,FRA
12798892,142,Italy,Europe,ITA
12801569,311,USA,North America,USA
12801944,53,USA,North America,USA
12801946,22,Switzerland,Europe,CHE
12801953,8,Spain,Europe,ESP
12801957,43,UK,Europe,GBR
12802023,463,USA,North America,USA
12802024,120,Germany,Europe,DEU
12802027,39,USA,North America,USA
12804135,22,USA,North America,USA
12805964,152,Mexico,North America,MEX
12806495,74,Brazil,South America,BRA
12807271,54,Australia,Asia-Pacific,AUS
12807810,48,USA,North America,USA
12808261,461,Japan,Asia-Pacific,JPN
12808267,28,Japan,Asia-Pacific,JPN
12808272,64,Japan,Asia-Pacific,JPN
12810429,23,Finland,Europe,FIN
12810740,600,Australia,Asia-Pacific,AUS
12810742,120,USA,North America,USA
12810768,42,Iran,Middle East,IRN
12812880,383,India,Asia-Pacific,IND
12813118,18,USA,North America,USA
12813158,11,Netherlands,Europe,NLD
12814145,68,Hong Kong,Asia-Pacific,CHN
12814453,9,Malaysia,Asia-Pacific,MYS
12814477,174,USA,North America,USA
12816171,316,USA,North America,USA
12816172,406,USA,North America,USA
12816783,324,China,Asia-Pacific,CHN
12817353,114,UK,Europe,GBR
12817355,306,Netherlands,Europe,NLD
12819076,30,Norway,Europe,NOR
12819312,323,USA,North America,USA
12819322,1094,USA,North America,USA
12821232,593,Netherlands,Europe,NLD
12821233,80,UK,Europe,GBR
12821234,116,USA,North America,USA
12821239,154,Netherlands,Europe,NLD
12821469,20,France,Europe,FRA
12821497,16,USA,North America,USA
12823650,211,USA,North America,USA
12824459,188,USA,North America,USA
12824908,635,Japan,Asia-Pacific,JPN
12825799,300,Czech Republic,Europe,CZE
12826636,147,Canada,North America,CAN
12826782,129,USA,North America,USA
12826783,214,USA,North America,USA
12828793,29,UK,Europe,GBR
12830040,103,Japan,Asia-Pacific,JPN
12830063,157,Turkey,Middle East,TUR
12830065,144,USA,North America,USA
12830070,462,USA,North America,USA
12830564,68,UK,Europe,GBR
12833465,129,Italy,Europe,ITA
12835203,20,USA,North America,USA
12839518,180,Japan,Asia-Pacific,JPN
12839527,363,Japan,Asia-Pacific,JPN
12839713,125,Iraq,Middle East,IRQ
12840087,885,Netherlands,Europe,NLD
12840089,194,Australia,Asia-Pacific,AUS
12842953,1686,UK,Europe,GBR
12843002,521,Germany,Europe,DEU
12843036,98,Netherlands,Europe,NLD
12844093,30,USA,North America,USA
12846601,134,Netherlands,Europe,NLD
12846628,43,UK,Europe,GBR
12846752,28,USA,North America,USA
12846755,43,USA,North America,USA
12846760,14,USA,North America,USA
12846762,320,Hong Kong,Asia-Pacific,CHN
12846768,38,Netherlands,Europe,NLD
12846772,20,Austria,Europe,AUT
12847034,889,Canada,North America,CAN
12847992,68,Iran,Middle East,IRN
12848792,107,UK,Europe,GBR
12848832,100,USA,North America,USA
12848834,400,USA,North America,USA
12848836,1309,USA,North America,USA
12848839,23,USA,North America,USA
12849673,14,USA,North America,USA
12849805,297,UK,Europe,GBR
12849809,19,USA,North America,USA
12849825,57,UK,Europe,GBR
12850963,267,Netherlands,Europe,NLD
12850965,197,USA,North America,USA
12851665,631,Canada,North America,CAN
12853351,187,USA,North America,USA
12853354,154,USA,North America,USA
12853380,231,UK,Europe,GBR
12854145,82,China,Asia-Pacific,CHN
12854176,52,China,Asia-Pacific,CHN
12855089,33,Hong Kong,Asia-Pacific,CHN
12855253,15,Austria,Europe,AUT
12855524,272,Germany,Europe,DEU
12855528,317,UK,Europe,GBR
12856052,914,Tanzania,Africa,TZA
12856053,216,Iran,Middle East,IRN
12859261,37,Poland,Europe,POL
12859466,40,Germany,Europe,DEU
12859533,557,Germany,Europe,DEU
12859700,707,USA,North America,USA
12860806,33,Australia,Asia-Pacific,AUS
12860856,20,USA,North America,USA
12860863,87,UK,Europe,GBR
12860866,826,Belgium,Europe,BEL
12860867,325,Netherlands,Europe,NLD
12860868,150,UK,Europe,GBR
12861072,32,USA,North America,USA
12861468,127,Switzerland,Europe,CHE
12865276,202,UK,Europe,GBR
12866745,177,Japan,Asia-Pacific,JPN
12867607,279,Netherlands,Europe,NLD
12869456,87,Australia,Asia-Pacific,AUS
12870055,34,Brazil,South America,BRA
12870063,253,Brazil,South America,BRA
12871321,719,Denmark,Europe,DNK
12871368,60,USA,North America,USA
12871402,42,Norway,Europe,NOR
12871405,31,Netherlands,Europe,NLD
12871445,381,Spain,Europe,ESP
12871461,24,Italy,Europe,ITA
12871538,350,Germany,Europe,DEU
12872363,323,USA,North America,USA
12873166,506,USA,North America,USA
12875478,188,Italy,Europe,ITA
12877377,150,Finland,Europe,FIN
12877665,241,Germany,Europe,DEU
12878504,36,USA,North America,USA
12878618,18,USA,North America,USA
12878619,90,USA,North America,USA
12878742,24,UK,Europe,GBR
12878948,120,USA,North America,USA
12878949,128,USA,North America,USA
12879464,375,USA,North America,USA
12879828,81,UK,Europe,GBR
12881083,10455,Egypt,Africa,EGY
12881261,107,UK,Europe,GBR
12881343,92,Argentina,South America,ARG
12881345,249,USA,North America,USA
12881348,32,Germany,Europe,DEU
12881376,133,Sweden,Europe,SWE
12881382,167,Switzerland,Europe,CHE
12881389,200,Italy,Europe,ITA
12883063,300,UK,Europe,GBR
12885714,170,USA,North America,USA
12885981,52,UK,Europe,GBR
12890302,24,Netherlands,Europe,NLD
12891099,85,USA,North America,USA
12891111,60,USA,North America,USA
12892566,135,UK,Europe,GBR
12895191,24,China,Asia-Pacific,CHN
12896934,183,UK,Europe,GBR
12896935,116,India,Asia-Pacific,IND
12897178,7,UK,Europe,GBR
12897218,150,India,Asia-Pacific,IND
12897327,216,USA,North America,USA
12897359,248,Denmark,Europe,DNK
12897994,18,Germany,Europe,DEU
12904518,226,USA,North America,USA
12904519,516,Italy,Europe,ITA
12905053,80,Sweden,Europe,SWE
12906063,32,Japan,Asia-Pacific,JPN
12906958,739,USA,North America,USA
12906966,25,Netherlands,Europe,NLD
12906976,150,USA,North America,USA
12906979,60,Canada,North America,CAN
12907440,386,France,Europe,FRA
12907482,549,Netherlands,Europe,NLD
12907484,408,Australia,Asia-Pacific,AUS
12908031,108,Brazil,South America,BRA
12908904,381,UK,Europe,GBR
12909492,40,Finland,Europe,FIN
12909493,180,Italy,Europe,ITA
12909502,143,Australia,Asia-Pacific,AUS
12909504,50,Italy,Europe,ITA
12909505,55,USA,North America,USA
12909511,36,Italy,Europe,ITA
12910512,237,USA,North America,USA
12911356,32,UK,Europe,GBR
12911359,60,UK,Europe,GBR
12915873,170,UK,Europe,GBR
12917138,214,UK,Europe,GBR
12918131,57,France,Europe,FRA
12919638,166,Netherlands,Europe,NLD
12919990,468,Australia,Asia-Pacific,AUS
12920037,708,France,Europe,FRA
12920042,20,Austria,Europe,AUT
12920470,210,Brazil,South America,BRA
12923020,227,USA,North America,USA
12923023,108,UK,Europe,GBR
12923038,16,UK,Europe,GBR
12923684,60,Turkey,Middle East,TUR
12924516,50,Belgium,Europe,BEL
12925422,221,Canada,North America,CAN
12925469,40,USA,North America,USA
12925471,30,France,Europe,FRA
12925474,522,USA,North America,USA
12925545,52,USA,North America,USA
12929288,1205,Israel,Middle East,ISR
12930237,113,Sweden,Europe,SWE
12930925,157,Denmark,Europe,DNK
12932090,801,Thailand,Asia-Pacific,THA
12932091,536,Gambia,Africa,GMB
12932590,177,Denmark,Europe,DNK
12932592,780,USA,North America,USA
12932593,197,Germany,Europe,DEU
12933772,256,Netherlands,Europe,NLD
12934721,118,Netherlands,Europe,NLD
12934722,393,Denmark,Europe,DNK
12935434,24,Brazil,South America,BRA
12936972,936,USA,North America,USA
12936975,103,Netherlands,Europe,NLD
12937039,200,Israel,Middle East,ISR
12937043,118,USA,North America,USA
12937048,78,Sweden,Europe,SWE
12937331,225,USA,North America,USA
12937335,118,USA,North America,USA
12939169,124,UK,Europe,GBR
12939546,260,Japan,Asia-Pacific,JPN
12939888,141,UK,Europe,GBR
12939889,217,UK,Europe,GBR
12940564,40,USA,North America,USA
12940665,382,Italy,Europe,ITA
12940794,207,Canada,North America,CAN
12941031,123,USA,North America,USA
12941041,248,Denmark,Europe,DNK
12944249,30,UK,Europe,GBR
12944571,317,USA,North America,USA
12945826,52,Australia,Asia-Pacific,AUS
12946228,257,Canada,North America,CAN
12946968,393,Finland,Europe,FIN
12946971,205,USA,North America,USA
12947272,96,Netherlands,Europe,NLD
12947533,60,Denmark,Europe,DNK
12948399,121,Belgium,Europe,BEL
12948983,794,USA,North America,USA
12950483,98,USA,North America,USA
12950664,710,Nigeria,Africa,NGA
12954574,170,Italy,Europe,ITA
12954577,92,USA,North America,USA
12954744,358,Australia,Asia-Pacific,AUS
12957419,115,Canada,North America,CAN
12957421,940,Denmark,Europe,DNK
12957423,450,USA,North America,USA
12957426,50,Germany,Europe,DEU
12957432,33,Brazil,South America,BRA
12957433,20,Germany,Europe,DEU
12958109,48,Australia,Asia-Pacific,AUS
12960371,32,USA,North America,USA
12964946,650,UK,Europe,GBR
12966017,100,France,Europe,FRA
12966426,93,USA,North America,USA
12968087,460,Spain,Europe,ESP
12969045,76,UK,Europe,GBR
12969156,27,Switzerland,Europe,CHE
12969694,173,Turkey,Middle East,TUR
12969695,90,Denmark,Europe,DNK
12969696,152,Netherlands,Europe,NLD
12969704,110,Iran,Middle East,IRN
12970130,194,Hong Kong,Asia-Pacific,CHN
12970132,15,Switzerland,Europe,CHE
12970133,110,Bangladesh,Asia-Pacific,BGD
12970916,96,China,Asia-Pacific,CHN
12971556,130,Thailand,Asia-Pacific,THA
12972723,600,Germany,Europe,DEU
12973849,250,USA,North America,USA
12975221,125,Canada,North America,CAN
12975413,224,Canada,North America,CAN
13129466,51,UK,Europe,GBR
13678426,522,UK,Europe,GBR
13678914,208,USA,North America,USA
13678916,4809,USA,North America,USA
13678928,18,USA,North America,USA
13679279,19,UK,Europe,GBR
13679527,114,Canada,North America,CAN
14499051,972,UK,Europe,GBR
14500440,174,Australia,Asia-Pacific,AUS
14500473,586,UK,Europe,GBR
14500805,83,USA,North America,USA
14502137,71,USA,North America,USA
14502192,996,Germany,Europe,DEU
14502837,42,Chile,South America,CHL
14504146,114,USA,North America,USA
14504152,32,UK,Europe,GBR
14504153,114,USA,North America,USA
14504154,38,USA,North America,USA
14505118,105,Netherlands,Europe,NLD
14505753,14,Sweden,Europe,SWE
14506028,304,USA,North America,USA
14507107,300,UK,Europe,GBR
14507420,100,UK,Europe,GBR
14507747,519,Australia,Asia-Pacific,AUS
14507756,116,India,Asia-Pacific,IND
14507948,109,Canada,North America,CAN
14508821,166,USA,North America,USA
14509552,200,France,Europe,FRA
14509553,38,Germany,Europe,DEU
14509556,63,China,Asia-Pacific,CHN
14509562,88,Thailand,Asia-Pacific,THA
14509886,100,Italy,Europe,ITA
14512004,34,UK,Europe,GBR
14512476,301,Brazil,South America,BRA
14513774,25,Japan,Asia-Pacific,JPN
14514648,1168,USA,North America,USA
14514774,268,UK,Europe,GBR
14514935,24,UK,Europe,GBR
14516297,683,Democratic Republic of Congo,Africa,COD
14518664,276,Japan,Asia-Pacific,JPN
14518801,122,USA,North America,USA
14519752,172,Netherlands,Europe,NLD
14519753,338,USA,North America,USA
14520444,240,Netherlands,Europe,NLD
14521593,183,USA,North America,USA
14521596,55,UK,Europe,GBR
14521638,120,USA,North America,USA
14521639,226,USA,North America,USA
14522473,1018,UK,Europe,GBR
14522478,480,USA,North America,USA
14522728,18,New Zealand,Asia-Pacific,NZL
14523040,24,UK,Europe,GBR
14523053,2725,Taiwan,Asia-Pacific,TWN
14523139,105,USA,North America,USA
14523141,114,Italy,Europe,ITA
14523142,398,South Africa,Africa,ZAF
14525770,304,USA,North America,USA
14525878,60,UK,Europe,GBR
14527106,172,Hong Kong,Asia-Pacific,CHN
14527904,24,USA,North America,USA
14530809,61,Hungary,Europe,HUN
14531817,20,USA,North America,USA
14534336,19,Israel,Middle East,ISR
14535966,101,UK,Europe,GBR
14535967,390,Netherlands,Europe,NLD
14535973,182,Norway,Europe,NOR
14551096,94,Ireland,Europe,IRL
14551147,86,Netherlands,Europe,NLD
14552846,25,USA,North America,USA
14554218,20,USA,North America,USA
14556812,304,UK,Europe,GBR
14556820,16,USA,North America,USA
14556826,269,Denmark,Europe,DNK
14559955,28,USA,North America,USA
14560224,113,USA,North America,USA
14560228,235,USA,North America,USA
14561020,151,Denmark,Europe,DNK
14562186,60,Turkey,Middle East,TUR
14563575,211,Germany,Europe,DEU
14563577,302,USA,North America,USA
14563580,19,Japan,Asia-Pacific,JPN
14563581,92,USA,North America,USA
14563591,490,USA,North America,USA
14563595,435,Canada,North America,CAN
14563743,149,Finland,Europe,FIN
14563749,263,UK,Europe,GBR
14565994,238,Denmark,Europe,DNK
14566252,70,Germany,Europe,DEU
14566254,71,Netherlands,Europe,NLD
14567873,24,Netherlands,Europe,NLD
14567905,700,UK,Europe,GBR
14569044,96,USA,North America,USA
14570295,781,USA,North America,USA
14570527,250,USA,North America,USA
14570719,31,USA,North America,USA
14570722,39,USA,North America,USA
14570732,107,UK,Europe,GBR
14570781,100,UK,Europe,GBR
14570783,305,Switzerland,Europe,CHE
14570784,50,Belgium,Europe,BEL
14570791,90,Finland,Europe,FIN
14570792,53,France,Europe,FRA
14570793,50,USA,North America,USA
14573827,182,Denmark,Europe,DNK
14577838,100,Finland,Europe,FIN
14578611,17,Japan,Asia-Pacific,JPN
